,Type of Travel,Inflight wifi service,Customer Type,Online boarding,Checkin service,Class,Inflight service,Baggage handling,Seat comfort,Cleanliness,On-board service,Leg room service,True_Y,Predicted_Y_Random Forest
20574,1,4,0,4,4,1,2,2,5,3,2,4,1,0
20587,0,4,1,4,5,1,4,2,3,3,3,3,1,0
20608,0,2,0,3,1,0,3,3,3,3,1,4,1,0
20618,0,4,1,4,4,0,4,3,2,2,3,2,0,1
20647,1,4,0,5,3,1,4,5,3,3,4,3,1,0
20653,1,4,0,4,3,2,4,4,3,3,3,4,1,0
20656,0,4,1,3,1,1,4,4,5,5,2,1,1,0
20668,0,4,1,4,4,0,5,4,5,5,4,2,1,0
20669,0,4,1,4,3,0,5,4,4,3,5,5,0,1
20716,0,4,0,4,4,0,1,3,4,4,4,4,1,0
20755,0,4,0,4,1,1,4,4,4,3,4,4,1,0
20771,0,4,1,4,4,1,5,5,5,5,3,2,1,0
20785,0,2,0,4,3,0,2,2,4,3,2,2,1,0
20795,0,4,0,4,2,1,2,3,4,4,1,3,0,1
20818,0,4,1,4,4,0,4,4,5,5,5,2,0,1
20824,0,3,0,4,4,0,3,3,4,4,3,2,1,0
20862,1,4,0,4,3,1,3,5,2,2,4,5,1,0
20895,0,5,0,4,3,2,3,4,5,5,1,2,0,1
20963,1,4,0,4,3,1,5,5,5,5,4,4,1,0
20970,1,4,0,4,3,1,1,1,4,4,1,5,1,0
20974,1,4,0,4,3,0,3,3,3,4,3,4,0,1
20997,0,4,1,2,2,0,3,4,2,2,2,4,0,1
21012,1,4,0,0,5,1,1,4,3,3,5,5,1,0
21013,0,4,0,4,4,1,2,2,4,4,4,3,0,1
21036,1,4,0,4,2,1,3,4,4,4,1,5,0,1
21083,1,4,0,0,4,1,4,5,4,4,1,5,1,0
21090,0,4,1,4,5,0,5,5,3,3,4,5,0,1
21122,1,4,0,4,4,1,5,5,1,1,4,2,1,0
21155,0,4,1,4,5,0,4,4,2,2,3,3,0,1
21163,1,4,0,4,5,1,4,5,5,5,3,5,1,0
21168,0,4,1,4,4,0,5,5,4,4,3,5,0,1
21191,0,2,0,2,3,0,2,2,3,2,2,2,1,0
21227,0,4,0,4,3,1,4,4,3,2,4,4,1,0
21244,0,4,0,4,2,1,4,4,4,4,1,3,0,1
21245,1,4,0,4,1,1,4,4,2,2,1,4,0,1
21260,0,4,1,4,3,1,4,4,5,5,2,2,1,0
21290,0,4,1,4,3,1,5,4,1,1,5,5,1,0
21299,0,4,1,4,5,0,5,5,1,1,3,5,0,1
21348,0,1,0,3,3,0,4,4,3,3,2,4,1,0
21377,0,1,0,1,1,0,4,3,1,1,4,4,1,0
21386,1,4,0,4,4,0,1,1,3,3,1,4,0,1
21394,0,4,1,4,2,1,2,3,4,4,3,4,1,0
21425,0,4,1,4,5,0,4,5,5,5,5,5,0,1
21463,1,4,0,4,4,1,5,4,1,1,5,2,0,1
21466,0,4,1,4,5,1,5,4,1,1,3,5,0,1
21510,0,4,1,4,4,0,5,4,2,2,5,5,1,0
21517,0,4,1,4,3,1,2,2,4,3,2,1,1,0
21519,1,4,0,4,4,1,4,4,2,2,4,2,1,0
21544,0,3,0,3,4,2,4,2,3,3,1,2,1,0
21545,0,4,0,4,4,1,2,2,4,4,3,5,0,1
21553,1,4,0,4,4,1,2,2,4,4,2,5,1,0
21583,1,4,0,4,3,1,4,4,5,5,4,3,1,0
21636,0,2,0,4,2,0,4,4,2,4,2,4,0,1
21660,0,3,0,4,4,0,3,3,4,3,3,2,1,0
21674,1,4,0,4,5,1,3,2,3,3,4,5,1,0
21687,1,4,0,4,3,1,4,4,1,1,4,3,0,1
21724,0,2,0,2,2,1,3,2,2,2,2,3,1,0
21737,0,4,0,4,3,1,4,4,4,4,2,3,1,0
21762,0,2,1,2,4,0,1,4,1,5,4,1,1,0
21792,0,4,0,4,4,0,4,2,4,4,2,5,0,1
21806,0,4,0,4,4,1,4,4,3,4,4,4,0,1
21826,1,4,0,4,3,1,5,3,2,2,3,2,1,0
21853,1,4,0,4,3,2,4,4,4,4,4,3,1,0
21856,1,4,0,5,5,0,2,2,4,5,2,4,1,0
21859,1,4,0,4,5,1,5,4,2,2,3,4,1,0
21860,0,4,1,3,5,1,5,5,2,5,3,3,0,1
21900,1,4,0,5,5,0,3,3,5,3,3,4,1,0
21912,1,4,0,4,3,1,3,3,5,5,2,5,1,0
21921,1,4,0,4,4,1,3,3,4,3,3,4,1,0
21958,1,4,0,3,5,1,3,3,3,1,3,4,1,0
22005,1,4,0,3,4,1,2,2,2,3,2,4,1,0
22047,1,4,0,0,1,1,3,4,4,5,2,4,1,0
22049,1,4,0,4,4,1,5,4,4,4,5,2,0,1
22088,0,4,0,4,1,1,2,2,3,4,1,5,1,0
22089,1,4,0,4,3,1,5,5,1,1,5,5,1,0
22092,1,4,0,4,3,1,3,3,2,2,3,4,0,1
22110,1,4,0,5,3,0,4,5,5,5,4,0,1,0
22122,0,4,1,4,5,2,1,1,4,4,4,5,1,0
22204,0,4,1,4,5,0,5,5,5,5,5,4,1,0
22231,0,4,1,4,4,0,1,4,4,4,2,2,0,1
22265,0,4,1,3,3,0,4,5,3,3,4,2,0,1
22271,0,4,1,4,4,1,3,1,2,5,4,1,1,0
22278,1,4,0,2,3,2,2,2,3,3,2,4,0,1
22334,0,4,1,4,4,0,4,4,2,2,4,3,1,0
22352,1,4,0,4,2,1,1,3,1,1,4,4,1,0
22389,0,4,1,4,2,1,4,1,3,3,5,3,1,0
22404,0,3,0,3,2,0,3,3,2,2,3,3,1,0
22429,0,4,0,2,4,0,4,4,1,4,4,4,0,1
22441,0,4,1,3,4,0,4,4,4,4,3,5,1,0
22464,0,4,0,4,2,1,4,3,4,4,2,4,0,1
22467,1,4,0,5,2,1,1,1,3,5,1,4,1,0
22479,0,4,0,2,3,0,4,4,2,1,4,4,1,0
22487,1,4,0,4,5,1,4,5,1,2,4,2,1,0
22531,0,3,1,4,3,1,5,1,3,3,3,3,0,1
22544,0,3,1,2,3,1,5,4,5,5,4,4,1,0
22580,0,3,1,3,3,0,4,4,2,2,3,3,0,1
22629,0,2,0,2,3,1,2,2,2,2,3,5,1,0
22647,0,4,1,4,5,0,4,5,2,2,5,3,0,1
22648,1,4,0,4,1,1,5,5,4,4,5,4,1,0
22667,0,4,0,4,3,0,4,3,4,4,3,2,1,0
22677,0,4,1,4,4,1,3,3,4,5,1,5,1,0
22688,0,3,0,3,3,1,3,4,3,3,2,5,0,1
22745,0,4,1,4,5,0,5,4,5,5,3,5,0,1
22746,1,4,0,4,4,1,4,4,5,5,4,4,0,1
22770,1,4,0,4,5,1,5,4,5,2,4,2,1,0
22799,1,4,0,4,3,1,1,2,3,3,4,1,1,0
22801,0,4,1,4,5,1,5,4,1,1,5,3,1,0
22816,0,4,1,4,3,0,5,4,3,3,4,3,1,0
22848,1,4,0,4,4,1,1,1,4,5,1,4,1,0
22869,0,4,1,4,5,0,5,5,4,4,4,5,1,0
22886,0,4,0,1,4,0,4,4,3,1,4,4,0,1
22892,1,4,0,4,3,0,4,2,1,1,3,5,0,1
22972,1,4,0,1,4,1,2,2,3,3,2,4,1,0
23024,0,4,1,4,3,0,3,5,3,3,5,5,0,1
23028,1,4,1,4,5,1,5,5,4,4,5,4,1,0
23123,0,3,0,4,4,0,3,3,4,4,3,2,1,0
23125,0,4,1,4,3,0,4,4,2,2,5,5,0,1
23216,1,4,0,4,4,1,2,3,3,3,5,4,0,1
23255,1,4,0,4,5,1,4,4,2,2,5,5,0,1
23276,0,2,1,2,4,0,5,4,2,2,3,3,1,0
23314,0,5,0,4,2,1,3,4,5,5,2,4,0,1
23327,0,3,0,1,1,0,3,3,2,3,3,3,1,0
23335,1,4,0,4,1,1,5,5,2,2,4,5,1,0
23367,1,4,0,4,2,1,3,4,2,1,4,3,1,0
23376,0,4,1,4,4,0,5,4,5,5,3,2,0,1
23378,0,4,0,4,2,1,4,3,4,4,2,2,1,0
23459,0,4,1,5,4,0,3,4,4,4,2,4,0,1
23472,1,4,0,4,3,1,5,4,4,4,5,4,0,1
23508,0,4,1,4,4,0,5,4,1,1,4,5,0,1
23603,1,4,0,3,2,1,3,3,3,1,3,4,1,0
23620,0,4,1,4,4,1,5,4,2,2,4,2,0,1
23626,1,4,0,4,3,1,4,5,5,5,5,3,1,0
23633,0,3,0,2,2,1,3,3,3,1,3,3,1,0
23635,1,4,0,4,5,1,4,5,4,4,4,4,0,1
23658,1,4,0,4,5,1,4,5,5,4,3,5,0,1
23663,0,4,1,4,3,1,3,1,2,2,2,1,1,0
23672,0,2,0,4,3,0,3,4,2,4,3,4,0,1
23694,0,2,0,1,1,0,4,4,2,2,4,5,1,0
23700,1,4,0,3,5,1,4,4,3,3,3,3,1,0
23723,1,4,0,4,3,1,4,5,5,5,4,4,1,0
23758,0,4,1,4,5,1,4,5,1,1,5,1,1,0
23807,1,4,0,4,4,1,3,3,3,4,3,4,1,0
23811,0,4,0,4,3,1,3,3,4,4,1,2,1,0
23844,0,4,0,4,1,2,3,3,3,4,4,2,1,0
23915,0,4,0,4,1,1,1,1,4,4,4,2,0,1
23951,0,4,1,4,3,1,5,2,2,2,2,3,0,1
24002,0,3,1,3,3,0,4,5,5,5,5,3,0,1
24012,1,4,0,4,4,2,4,5,3,3,2,2,1,0
24102,0,4,1,4,3,1,3,3,5,5,2,1,0,1
24104,0,2,1,2,5,0,5,4,3,4,5,4,1,0
24115,0,5,0,4,4,1,3,4,4,5,3,5,0,1
24149,0,2,0,3,3,0,3,3,4,4,3,3,1,0
24154,0,4,0,4,2,0,2,1,4,4,3,2,1,0
24166,1,4,0,5,3,2,5,5,4,3,5,4,1,0
24247,0,4,1,4,1,1,4,3,2,2,3,4,1,0
24258,1,4,0,4,5,1,4,5,4,4,4,4,0,1
24289,1,4,0,5,1,0,5,3,3,4,5,4,1,0
24290,1,4,0,4,4,1,4,4,1,1,4,4,1,0
24291,1,4,0,0,4,1,2,3,2,2,4,1,1,0
24301,0,3,1,3,5,0,4,5,4,4,3,3,1,0
24319,1,4,0,5,1,1,5,4,3,3,5,2,1,0
24325,1,4,0,4,2,1,4,2,5,5,4,4,1,0
24332,1,4,0,3,3,1,3,3,4,1,3,4,1,0
24336,0,4,1,3,1,1,3,1,4,4,2,3,1,0
24341,0,3,0,3,1,1,3,3,3,3,2,1,0,1
24351,0,4,0,4,2,0,2,3,4,4,1,5,0,1
24358,0,4,0,2,1,0,4,4,1,3,4,4,0,1
24391,1,4,0,4,3,1,4,5,5,5,5,3,1,0
24402,0,2,1,2,5,0,4,4,3,3,4,3,0,1
24405,0,4,1,4,1,1,1,1,2,2,3,1,1,0
24415,0,3,0,4,3,1,1,4,3,3,5,2,0,1
24430,0,4,1,4,5,0,4,3,4,4,2,4,0,1
24448,0,4,1,4,4,0,5,4,4,4,4,4,0,1
24453,0,4,1,4,1,1,2,2,4,4,5,1,0,1
24460,1,4,0,4,3,1,4,3,4,4,1,2,1,0
24467,0,4,1,4,5,0,4,5,2,2,4,4,0,1
24503,1,4,0,4,3,1,5,4,1,1,3,5,1,0
24514,0,4,0,4,1,1,3,3,4,4,1,1,1,0
24573,1,4,0,4,4,1,3,4,3,3,4,2,1,0
24607,0,4,0,1,4,0,4,4,2,2,4,3,0,1
24656,0,4,0,3,3,2,4,4,3,1,4,4,1,0
24664,0,4,1,4,4,0,4,5,4,4,3,2,1,0
24694,0,4,1,4,4,0,5,4,4,4,4,3,1,0
24751,0,3,0,4,3,1,3,3,4,2,3,3,1,0
24754,0,4,0,4,3,1,4,4,3,1,4,4,1,0
24773,0,4,0,4,2,1,4,3,4,4,4,1,1,0
24775,0,2,0,3,2,0,1,1,4,1,1,2,1,0
24825,0,4,1,4,5,1,5,5,1,1,3,2,1,0
24841,0,4,0,4,4,1,2,1,4,4,1,3,0,1
24958,1,4,0,4,5,1,4,5,4,4,5,5,1,0
25013,0,1,0,3,3,0,3,3,1,4,3,5,0,1
25046,0,2,1,2,5,1,1,3,3,3,1,1,1,0
25055,0,3,0,4,3,2,3,3,2,4,3,3,1,0
25065,0,3,0,4,4,0,2,2,3,2,2,2,1,0
25066,0,4,0,4,4,0,4,4,4,4,4,5,0,1
25107,0,4,1,4,5,1,1,5,2,5,5,5,0,1
25149,0,2,0,3,1,0,3,2,4,4,4,4,1,0
25196,0,5,0,2,3,0,5,5,2,3,5,4,0,1
25218,0,4,1,4,4,0,5,5,4,4,3,5,0,1
25237,0,5,0,5,5,0,1,4,5,5,5,3,0,1
25241,1,4,0,4,4,1,3,3,4,3,3,4,1,0
25245,0,4,1,5,1,0,3,3,4,4,1,1,0,1
25253,0,4,0,4,4,1,4,4,4,4,3,1,1,0
25255,0,4,1,3,2,1,2,2,2,2,3,1,1,0
25256,0,4,0,4,4,0,3,3,4,4,3,4,0,1
25261,1,4,0,4,2,1,4,3,3,3,4,1,1,0
25287,0,2,1,2,4,0,5,4,2,5,5,5,1,0
25308,0,4,0,4,4,0,4,4,4,3,4,4,0,1
25310,1,4,0,4,1,1,1,3,1,1,5,5,1,0
25328,1,4,0,3,5,1,5,4,2,2,3,4,1,0
25338,0,4,0,4,3,1,2,2,5,5,1,3,0,1
25370,0,4,1,4,3,0,5,4,5,5,5,4,1,0
25433,0,4,0,4,1,1,3,3,4,4,3,3,1,0
25486,0,4,1,4,4,1,5,4,5,5,4,5,0,1
25501,1,4,0,4,4,1,4,4,2,2,2,3,1,0
25512,0,0,0,1,1,2,3,4,4,0,2,1,0,1
25551,0,4,0,4,2,1,3,4,4,4,1,5,1,0
25559,1,4,0,4,2,1,1,4,2,2,1,2,1,0
25571,0,4,1,4,4,0,4,4,5,1,3,5,1,0
25574,1,4,0,4,4,1,3,5,4,4,4,4,1,0
25655,0,4,1,4,4,0,4,3,5,5,4,5,0,1
25667,0,4,1,4,4,0,4,4,1,1,5,3,0,1
25671,0,4,1,4,5,1,2,4,2,2,5,2,1,0
25707,1,4,0,4,5,1,5,5,1,1,5,5,1,0
25726,1,4,0,4,5,1,4,3,5,5,4,3,0,1
25731,0,4,1,4,3,1,5,4,2,2,5,5,1,0
25738,0,4,1,5,1,1,3,2,3,5,2,2,1,0
25740,1,4,0,3,3,1,4,4,3,1,4,3,1,0
25756,1,4,0,4,5,1,4,4,4,4,5,2,0,1
25764,0,4,0,2,1,1,4,4,4,3,4,4,0,1
25785,0,4,1,4,4,0,5,5,2,2,5,3,0,1
25827,0,4,1,4,4,0,5,4,4,2,5,5,0,1
25869,1,4,0,4,5,1,5,4,1,1,5,3,1,0
25885,0,2,0,4,4,0,2,2,4,4,2,2,1,0
25930,0,4,0,4,4,1,3,3,4,4,1,5,1,0
25945,0,3,0,4,3,1,1,1,3,3,1,3,1,0
25954,0,4,0,4,3,0,4,2,4,4,3,5,0,1
25960,0,4,1,4,5,1,4,5,1,1,4,4,0,1
